Time,Call Duration,Cost,Disconnection Reason,Call Status,User Sentiment,Call Successful,End to End Latency
01/01/2026 12:32,0:59,$0.198,user_hangup,ended,Neutral,Successful,2459.3
01/01/2026 08:58,1:28,$0.291,user_hangup,ended,Neutral,Unsuccessful,2508.5
01/01/2026 06:29,0:50,$0.166,agent_hangup,ended,Neutral,Unsuccessful,2408.0
01/01/2026 13:12,1:53,$0.375,user_hangup,ended,Neutral,Unsuccessful,2650.7
01/01/2026 10:30,0:47,$0.157,agent_hangup,ended,Positive,Unsuccessful,2579.8
01/01/2026 11:45,0:53,$0.177,user_hangup,ended,Negative,Unsuccessful,2225.7
01/01/2026 13:48,1:19,$0.262,agent_hangup,ended,Negative,Unsuccessful,2334.3
01/01/2026 12:34,1:36,$0.319,agent_hangup,ended,Neutral,Successful,2774.8
01/01/2026 09:40,1:34,$0.312,agent_hangup,ended,Neutral,Unsuccessful,2526.9
01/01/2026 07:29,1:06,$0.221,user_hangup,ended,Positive,Successful,2417.6
01/01/2026 11:45,2:05,$0.413,user_hangup,ended,Neutral,Successful,2509.6
01/01/2026 09:34,1:34,$0.313,agent_hangup,ended,Neutral,Unsuccessful,2068.4
01/01/2026 10:02,1:00,$0.200,user_hangup,ended,Neutral,Unsuccessful,2940.8
01/01/2026 07:15,2:19,$0.461,user_hangup,ended,Neutral,Unsuccessful,2168.4
01/02/2026 12:10,1:31,$0.303,user_hangup,ended,Neutral,Unsuccessful,1988.2
01/02/2026 12:14,2:10,$0.430,user_hangup,ended,Neutral,Successful,2450.5
01/02/2026 05:13,2:10,$0.430,user_hangup,ended,Positive,Unsuccessful,2326.5
01/02/2026 14:07,0:00,$0.000,user_hangup,not_connected,Neutral,Successful,1863.2
01/02/2026 10:50,2:09,$0.429,agent_hangup,ended,Positive,Successful,3109.9
01/02/2026 06:53,0:18,$0.060,agent_hangup,ended,Positive,Unsuccessful,2943.7
01/02/2026 09:16,1:59,$0.395,user_hangup,ended,Neutral,Successful,2373.0
01/02/2026 16:52,1:49,$0.363,user_hangup,ended,Neutral,Successful,2353.3
01/04/2026 09:31,1:09,$0.229,user_hangup,ended,Positive,Unsuccessful,3007.9
01/04/2026 17:30,0:53,$0.177,user_hangup,ended,Negative,Successful,1837.4
01/04/2026 12:31,1:29,$0.296,agent_hangup,ended,Neutral,Successful,2207.1
01/04/2026 12:19,1:46,$0.350,agent_hangup,ended,Neutral,Unsuccessful,2183.7
01/05/2026 05:38,1:12,$0.239,user_hangup,ended,Negative,Successful,2701.7
01/05/2026 13:30,1:18,$0.259,agent_hangup,ended,Neutral,Successful,2518.7
01/05/2026 10:32,2:13,$0.440,user_hangup,ended,Neutral,Successful,2817.2
01/05/2026 14:55,1:41,$0.336,user_hangup,ended,Neutral,Unsuccessful,2162.8
01/05/2026 10:13,1:07,$0.224,user_hangup,ended,Neutral,Successful,2810.0
01/05/2026 09:28,0:45,$0.150,agent_hangup,ended,Neutral,Successful,2614.8
01/05/2026 07:15,1:30,$0.297,agent_hangup,ended,Neutral,Unsuccessful,2219.8
01/05/2026 06:12,2:33,$0.507,user_hangup,ended,Neutral,Successful,2514.7
01/05/2026 09:35,1:40,$0.332,agent_hangup,ended,Neutral,Unsuccessful,2273.8
01/05/2026 08:05,1:49,$0.360,user_hangup,ended,Neutral,Unsuccessful,2485.6
01/05/2026 11:22,1:27,$0.288,agent_hangup,ended,Neutral,Successful,2661.2
01/06/2026 04:45,1:16,$0.251,user_hangup,ended,Neutral,Unsuccessful,2191.1
01/06/2026 08:14,0:00,$0.000,agent_hangup,not_connected,Neutral,Successful,2121.4
01/06/2026 12:45,1:52,$0.372,user_hangup,ended,Positive,Successful,2352.9
01/06/2026 13:58,1:55,$0.381,user_hangup,ended,Positive,Successful,2666.9
01/07/2026 04:14,1:11,$0.234,user_hangup,ended,Neutral,Unsuccessful,2754.8
01/07/2026 10:01,2:19,$0.460,agent_hangup,ended,Neutral,Unsuccessful,2260.6
01/07/2026 11:26,3:03,$0.606,user_hangup,ended,Neutral,Unsuccessful,2809.9
01/07/2026 08:02,0:53,$0.175,user_hangup,ended,Neutral,Unsuccessful,2319.7
01/07/2026 10:17,1:10,$0.233,agent_hangup,ended,Neutral,Unsuccessful,1846.2
01/07/2026 10:43,2:06,$0.418,user_hangup,ended,Neutral,Unsuccessful,2240.9
01/07/2026 08:50,1:03,$0.209,user_hangup,ended,Neutral,Successful,2299.9
01/07/2026 11:48,0:38,$0.127,user_hangup,ended,Neutral,Unsuccessful,2243.0
01/07/2026 07:52,2:23,$0.475,user_hangup,ended,Positive,Unsuccessful,3033.2
01/08/2026 14:28,1:19,$0.264,agent_hangup,ended,Neutral,Successful,2142.2
01/08/2026 12:07,2:13,$0.440,agent_hangup,ended,Neutral,Unsuccessful,2372.1
01/08/2026 03:04,2:15,$0.446,user_hangup,ended,Positive,Successful,2428.8
01/08/2026 11:40,1:56,$0.385,user_hangup,ended,Neutral,Unsuccessful,2039.5
01/08/2026 07:04,0:46,$0.154,user_hangup,ended,Neutral,Successful,2456.8
01/08/2026 08:05,1:40,$0.332,agent_hangup,ended,Neutral,Successful,1587.4
01/08/2026 06:18,2:19,$0.460,user_hangup,ended,Neutral,Unsuccessful,2262.2
01/08/2026 09:12,0:52,$0.175,user_hangup,ended,Neutral,Unsuccessful,2205.2
01/08/2026 08:40,1:55,$0.381,user_hangup,ended,Negative,Successful,3365.1
01/09/2026 07:18,1:44,$0.345,agent_hangup,ended,Neutral,Unsuccessful,3530.0
01/09/2026 08:53,0:00,$0.000,user_hangup,not_connected,Neutral,Unsuccessful,3768.4
01/09/2026 10:09,2:50,$0.563,agent_hangup,ended,Positive,Successful,2297.2
01/09/2026 12:44,2:25,$0.480,user_hangup,ended,Negative,Successful,2706.7
01/09/2026 12:23,1:57,$0.389,agent_hangup,ended,Neutral,Unsuccessful,2298.0
01/09/2026 14:16,1:21,$0.269,agent_hangup,ended,Neutral,Unsuccessful,2325.1
01/09/2026 10:14,1:43,$0.341,agent_hangup,ended,Neutral,Successful,2533.9
01/09/2026 14:09,1:39,$0.327,agent_hangup,ended,Neutral,Unsuccessful,2580.8
01/09/2026 13:29,2:31,$0.501,user_hangup,ended,Neutral,Successful,2840.2
01/10/2026 14:51,2:17,$0.455,agent_hangup,ended,Neutral,Successful,2678.7
01/10/2026 08:58,1:59,$0.393,agent_hangup,ended,Neutral,Successful,2646.2
01/11/2026 12:01,1:20,$0.264,user_hangup,ended,Neutral,Successful,2315.7
01/11/2026 12:35,2:28,$0.491,agent_hangup,ended,Neutral,Successful,2636.2
01/11/2026 10:55,1:44,$0.346,agent_hangup,ended,Neutral,Successful,2220.1
01/11/2026 17:32,1:20,$0.265,user_hangup,ended,Neutral,Successful,2668.5
01/12/2026 12:36,1:51,$0.368,user_hangup,ended,Neutral,Unsuccessful,3048.0
01/12/2026 15:22,1:10,$0.232,user_hangup,ended,Neutral,Successful,2661.3
01/12/2026 18:58,0:00,$0.000,user_hangup,not_connected,Negative,Successful,1996.9
01/12/2026 14:54,0:45,$0.151,user_hangup,ended,Positive,Successful,2322.7
01/12/2026 10:42,1:53,$0.376,agent_hangup,ended,Neutral,Successful,2220.9
01/12/2026 12:24,0:39,$0.129,agent_hangup,ended,Neutral,Successful,1928.7
01/13/2026 11:05,1:35,$0.316,user_hangup,ended,Neutral,Successful,2520.6
01/13/2026 11:06,2:35,$0.515,agent_hangup,ended,Neutral,Unsuccessful,3033.3
01/13/2026 15:47,0:53,$0.177,agent_hangup,ended,Positive,Successful,2798.4
01/13/2026 15:13,0:43,$0.145,agent_hangup,ended,Neutral,Successful,2083.1
01/13/2026 15:35,1:04,$0.214,agent_hangup,ended,Neutral,Successful,3051.5
01/13/2026 07:11,2:36,$0.516,user_hangup,ended,Neutral,Successful,2593.2
01/13/2026 04:13,1:11,$0.236,agent_hangup,ended,Negative,Unsuccessful,3057.1
01/14/2026 12:16,2:00,$0.396,user_hangup,ended,Neutral,Successful,2704.1
01/14/2026 08:15,1:23,$0.276,user_hangup,ended,Positive,Unsuccessful,2693.3
01/14/2026 12:54,2:03,$0.409,agent_hangup,ended,Neutral,Successful,2353.1
01/14/2026 12:17,2:00,$0.397,agent_hangup,ended,Positive,Successful,3319.5
01/14/2026 11:23,2:55,$0.579,user_hangup,ended,Negative,Successful,2838.5
01/14/2026 07:17,1:59,$0.395,agent_hangup,ended,Neutral,Unsuccessful,1699.8
01/14/2026 12:35,1:31,$0.301,user_hangup,ended,Neutral,Unsuccessful,2925.0
01/14/2026 10:04,0:35,$0.117,agent_hangup,ended,Neutral,Successful,3429.8
01/14/2026 08:20,1:55,$0.382,agent_hangup,ended,Neutral,Unsuccessful,1622.7
01/14/2026 10:39,0:57,$0.190,agent_hangup,ended,Neutral,Unsuccessful,2743.5
01/14/2026 12:17,1:31,$0.302,agent_hangup,ended,Positive,Successful,2991.0
01/14/2026 15:27,0:41,$0.138,agent_hangup,ended,Neutral,Successful,2176.5
01/14/2026 11:46,1:18,$0.259,user_hangup,ended,Neutral,Unsuccessful,2307.9
01/15/2026 07:54,1:30,$0.299,user_hangup,ended,Neutral,Unsuccessful,1870.8
01/15/2026 11:43,1:11,$0.236,agent_hangup,ended,Neutral,Successful,2611.0
01/15/2026 09:29,1:39,$0.329,user_hangup,ended,Neutral,Successful,2405.3
01/15/2026 14:20,1:37,$0.321,agent_hangup,ended,Neutral,Unsuccessful,2609.0
01/15/2026 11:01,2:16,$0.450,agent_hangup,ended,Neutral,Successful,2742.2
01/15/2026 14:49,1:01,$0.203,agent_hangup,ended,Neutral,Successful,2193.9
01/15/2026 11:32,1:59,$0.394,agent_hangup,ended,Neutral,Successful,1888.3
01/15/2026 12:30,1:05,$0.215,agent_hangup,ended,Neutral,Successful,2551.8
